Time,Node36_UX,Node107_UX
9.96,0.307857774,-0.259932051
9.97,0.307687559,-0.25995816
9.98,0.307503824,-0.260000336
9.99,0.307321069,-0.26004387
10,0.307123798,-0.260103866
10.01,0.306888709,-0.260203471
10.02,0.306627884,-0.260330851
10.03,0.306360435,-0.260467111
10.04,0.306091087,-0.260607706
10.05,0.305822037,-0.260750564
10.06,0.305555412,-0.260893617
10.07,0.305300381,-0.261027758
10.08,0.305065941,-0.261144045
10.09,0.304858894,-0.261235738
10.1,0.304667325,-0.261314807
10.11,0.304444054,-0.261428476
10.12,0.304153451,-0.261612368
10.13,0.303790446,-0.261871511
10.14,0.30335814,-0.262202772
